2026-04-13 17:14:29 | INFO | [OK]   #  70  day=3  slot=18:38  type=photo  files=1  caption='It's Thursday night, you and your mates are at The Oak for $'
2026-04-13 17:14:29 | INFO | [OK]   #  71  day=3  slot=19:12  type=photo  files=1  caption='We know school holidays can be rough, The Oak is here to hel'
2026-04-13 17:14:29 | INFO | [OK]   #  72  day=3  slot=19:45  type=photo  files=1  caption='Sneaky lil Tuesday date night?  We'll bring the pasta'
2026-04-13 17:14:29 | INFO | [OK]   #  73  day=3  slot=20:19  type=photo  files=1  caption='Good things are happening this weekend.  Bring your friends,'
2026-04-13 17:14:29 | INFO | [OK]   #  74  day=3  slot=20:52  type=photo  files=1  caption='Wednesday means stick comp and $15 Schnittys'
2026-04-13 17:14:29 | INFO | [OK]   #  75  day=3  slot=21:26  type=album  files=3  caption='$15 PASTA SPECIALS EVERY TUESDAY!'
2026-04-13 17:14:29 | INFO | [OK]   #  76  day=4  slot=08:00  type=photo  files=1  caption='See you tonight'
2026-04-13 17:14:29 | INFO | [OK]   #  77  day=4  slot=08:33  type=photo  files=1  caption='Drop in for some of the good stuff. Here 7 days a week x'
2026-04-13 17:14:29 | INFO | [OK]   #  78  day=4  slot=09:07  type=photo  files=1  caption='$15 All day, all night, every Friday'
2026-04-13 17:14:29 | INFO | [OK]   #  79  day=4  slot=09:40  type=photo  files=1  caption='Is there a better spot to spend the afternoon?'
2026-04-13 17:14:29 | INFO | [OK]   #  80  day=4  slot=10:14  type=photo  files=1  caption='Plenty of good times happening at The Oak.  $7000 Joker Poke'
2026-04-13 17:14:29 | INFO | [OK]   #  81  day=4  slot=10:48  type=photo  files=1  caption='Schnitzels. Pool comp. Meat Raffle  Every Wednesday'
2026-04-13 17:14:29 | INFO | [OK]   #  82  day=4  slot=11:21  type=photo  files=1  caption='The good stuff'
2026-04-13 17:14:29 | INFO | [OK]   #  83  day=4  slot=11:55  type=photo  files=1  caption='$15 LUNCH MONDAY - FIRDAY'
2026-04-13 17:14:29 | INFO | [OK]   #  84  day=4  slot=12:28  type=photo  files=1  caption='Saturday lunch, kiddos eat for free x'
2026-04-13 17:14:29 | INFO | [OK]   #  85  day=4  slot=13:02  type=album  files=2  caption='We've made your Saturday night plans for you'
2026-04-13 17:14:29 | INFO | [OK]   #  86  day=4  slot=13:36  type=photo  files=1  caption='Big week?  One of these will fix you right up'
2026-04-13 17:14:29 | WARNING | [WARN] #  87  day=4  slot=14:09  type=album  files=2  (no caption)
2026-04-13 17:14:29 | INFO | [OK]   #  88  day=4  slot=14:43  type=photo  files=1  caption='It's a little wet out in the beer garden but that won't stop'
2026-04-13 17:14:29 | INFO | [OK]   #  89  day=4  slot=15:16  type=photo  files=1  caption='$15 Pasta on Tuesdays x'
2026-04-13 17:14:29 | INFO | [OK]   #  90  day=4  slot=15:50  type=album  files=3  caption='Monday night means music bingo with @just.bonnie.anne and $1'
2026-04-13 17:14:29 | INFO | [OK]   #  91  day=4  slot=16:24  type=album  files=2  caption='Friday night sorted'
2026-04-13 17:14:29 | INFO | [OK]   #  92  day=4  slot=16:57  type=photo  files=1  caption='$15 Schnitzels every Wednesday'
2026-04-13 17:14:29 | INFO | [OK]   #  93  day=4  slot=17:31  type=photo  files=1  caption='Tuesday, the perfect opportunity to drink cold beer and hone'
2026-04-13 17:14:29 | INFO | [OK]   #  94  day=4  slot=18:04  type=photo  files=1  caption='Bring your mates, bring your dog. How good.'
2026-04-13 17:14:29 | INFO | [OK]   #  95  day=4  slot=18:38  type=photo  files=1  caption='Go on, pop in for a quick one on your way home'
2026-04-13 17:14:29 | INFO | [OK]   #  96  day=4  slot=19:12  type=album  files=4  caption='Live Music Lineup  Friday @jackandtheaxes  Bringing the blue'
